year1,year2,coef_year1,coef_year2,std_err_year1,std_err_year2,t_stat_year1,t_stat_year2,p_value_year1,p_value_year2
1950,1951,0,-0.003446735152129841,0,0.024047538144481066,0,-0.1433300627873573,1.0,0.8862990916007318
1950,1952,0,-0.0019195521509803928,0,0.0252181910457365,0,-0.07611775751476516,1.0,0.9394649480931321
1950,1953,0,-0.012295658325980462,0,0.025181295238978135,0,-0.4882853804496922,1.0,0.6264497274130871
1950,1954,0,0.001434845267674065,0,0.022996452325557526,0,0.06239420095591978,1.0,0.9503277738723706
1950,1955,0,-0.013973972315760294,0,0.02117422168947279,0,-0.6599521116144612,1.0,0.5102640249880501
1950,1956,0,0.0012210523023528815,0,0.022452161889487784,0,0.054384620437134136,1.0,0.9566723409796279
1950,1957,0,-0.020654766366592203,0,0.017718424107275504,0,-1.1657225406468843,1.0,0.24469788967242279
1950,1958,0,-0.00997198632322191,0,0.020535840704165097,0,-0.4855893881763206,1.0,0.6275748092861765
1950,1959,0,-0.007335481540724055,0,0.019188415664611238,0,-0.38228698340388356,1.0,0.7024734642141826
1950,1960,0,-0.01733068697896097,0,0.018797460029006757,0,-0.9219696146297224,1.0,0.35723256071299403
1950,1961,0,-0.01776380943499028,0,0.018914236516171128,0,-0.9391766577415236,1.0,0.3483484033372489
1950,1962,0,-0.0211047872373882,0,0.01859894203943052,0,-1.134730523523606,1.0,0.25724742807889867
1950,1963,0,-0.012921357475370607,0,0.018647145724802743,0,-0.6929402315006199,1.0,0.4887318716630452
1950,1964,0,0.0011477786264782307,0,0.020975648017290013,0,0.0547195788912995,1.0,0.9563871675647841
1950,1965,0,0.0016193485115664464,0,0.02096880985539847,0,0.0772265342064486,1.0,0.9384814702035317
1950,1966,0,-0.0031657449543817584,0,0.020189791422880046,0,-0.15679928970411172,1.0,0.8754837573514822
1950,1967,0,0.015878055653926453,0,0.02251820813260625,0,0.7051207431969292,1.0,0.4811056655773802
1950,1968,0,0.015747301354002395,0,0.021596749649246873,0,0.7291514514801786,1.0,0.4662996278267467
1950,1969,0,0.03374477609042739,0,0.02483258821774983,0,1.3588908169591163,1.0,0.17500673059890665
1950,1970,0,0.028308001439171192,0,0.024168197096872554,0,1.171291401079907,1.0,0.24217717265848382
1950,1971,0,0.042180869901636844,0,0.02456493787359216,0,1.7171168972090987,1.0,0.08670932905909154
1950,1972,0,0.026510381002696794,0,0.022185613355902408,0,1.1949356809485636,1.0,0.23282372670061752
1950,1973,0,0.03572740510174066,0,0.024805487720151266,0,1.4403024647129492,1.0,0.1504913838033286
1950,1974,0,0.026672477020474407,0,0.02279785385492371,0,1.1699556103046902,1.0,0.24269681953835814
1950,1975,0,0.028292095739846805,0,0.023412523674854618,0,1.2084171758994489,1.0,0.22751311101490426
1950,1976,0,0.044476594887970955,0,0.02678035634018701,0,1.6607917506022392,1.0,0.09752919860443551
1950,1977,0,0.03786734415104465,0,0.02543539401120923,0,1.4887657778903183,1.0,0.1372098785785531
1950,1978,0,0.039528479427015144,0,0.026145231235523817,0,1.5118810413620423,1.0,0.13118593601653394
1950,1979,0,0.04459211607075847,0,0.026294954075658076,0,1.6958430861850622,1.0,0.09050065905152162
1950,1980,0,0.06891197612400347,0,0.02772780983303441,0,2.485301815720872,1.0,0.013235984648298465
1950,1981,0,0.054829480528506884,0,0.02532320229764003,0,2.165187478426323,1.0,0.030788234637693153
1950,1982,0,0.0879955033646813,0,0.028764835507065656,0,3.0591345931064513,1.0,0.002332037825348246
1950,1983,0,0.07967659463140238,0,0.02936242535124089,0,2.7135563114521517,1.0,0.006856099950531105
1950,1984,0,0.06811708218130058,0,0.028504364205989518,0,2.3897071230582783,1.0,0.01721428696448385
1950,1985,0,0.061565248960977,0,0.026363317873291617,0,2.3352617928014316,1.0,0.019962617489125575
1950,1986,0,0.05231318408924955,0,0.025757812092354417,0,2.0309638063078133,1.0,0.04277379343304873
1950,1987,0,0.0789976334386747,0,0.029284973786815674,0,2.6975483745947577,1.0,0.007229039539516589
1950,1988,0,0.059710663432115986,0,0.02738245909851048,0,2.1806172782839677,1.0,0.029705872853460914
1950,1989,0,0.04943129703143559,0,0.025928111511919573,0,1.9064750245582376,1.0,0.05717931380949652
1950,1990,0,0.08230119542361505,0,0.028473292775136258,0,2.8904698895760643,1.0,0.004028224153866986
1950,1991,0,0.05664796888632906,0,0.02569376620588098,0,2.2047359049045543,1.0,0.027884331961541706
1950,1992,0,0.06118633937251022,0,0.026367845967523278,0,2.320490625130022,1.0,0.02067465385015371
1950,1993,0,0.04769927510709521,0,0.025178961359716843,0,1.8944099570130808,1.0,0.0587106446091374
1950,1994,0,0.059086091460847805,0,0.026414114317066875,0,2.2369135967080553,1.0,0.0257199829814925
1950,1995,0,0.08422215732131391,0,0.027171779756656765,0,3.09961872485296,1.0,0.0020637937715265427
1950,1996,0,0.05542396585079956,0,0.0252933813681878,0,2.1912438295224477,1.0,0.028933882949456813
1950,1997,0,0.07548495420989626,0,0.028025674889438246,0,2.6934214611311114,1.0,0.007335300993843232
1950,1998,0,0.056052744409051905,0,0.02643800517402632,0,2.1201578576026683,1.0,0.034526287409044676
1950,1999,0,0.05578960773404796,0,0.025894416549711828,0,2.154503370521736,1.0,0.03165843137179237
1950,2000,0,0.06460420933927197,0,0.025342962446379926,0,2.54919721701676,1.0,0.01114177815750119
1950,2001,0,0.05510736547248163,0,0.025781338118830655,0,2.137490506446261,1.0,0.0330283820929397
1950,2002,0,0.0696780784926315,0,0.02599270412240792,0,2.6806783228284075,1.0,0.007582357350084247
