year1,year2,coef_year1,coef_year2,std_err_year1,std_err_year2,t_stat_year1,t_stat_year2,p_value_year1,p_value_year2
1950,1980,0,0.0689119761240034,0,0.0277278098330344,0,2.485301815720872,1.0,0.0132359846482984
1950,1981,0,0.0548294805285068,0,0.02532320229764,0,2.165187478426323,1.0,0.0307882346376931
1950,1982,0,0.0879955033646813,0,0.0287648355070656,0,3.0591345931064517,1.0,0.0023320378253482
1950,1983,0,0.0796765946314023,0,0.0293624253512408,0,2.713556311452152,1.0,0.0068560999505311
1950,1984,0,0.0681170821813005,0,0.0285043642059895,0,2.3897071230582783,1.0,0.0172142869644838
1950,1985,0,0.061565248960977,0,0.0263633178732916,0,2.335261792801432,1.0,0.0199626174891255
1950,1986,0,0.0523131840892495,0,0.0257578120923544,0,2.0309638063078133,1.0,0.0427737934330487
1950,1987,0,0.0789976334386747,0,0.0292849737868156,0,2.6975483745947577,1.0,0.0072290395395165
1950,1988,0,0.0597106634321159,0,0.0273824590985104,0,2.180617278283968,1.0,0.0297058728534609
1950,1990,0,0.082301195423615,0,0.0284732927751362,0,2.8904698895760643,1.0,0.0040282241538669
1950,1991,0,0.056647968886329,0,0.0256937662058809,0,2.2047359049045543,1.0,0.0278843319615417
1950,1992,0,0.0611863393725102,0,0.0263678459675232,0,2.320490625130022,1.0,0.0206746538501537
1950,1994,0,0.0590860914608478,0,0.0264141143170668,0,2.236913596708056,1.0,0.0257199829814925
1950,1995,0,0.0842221573213139,0,0.0271717797566567,0,3.09961872485296,1.0,0.0020637937715265
1950,1996,0,0.0554239658507995,0,0.0252933813681878,0,2.191243829522448,1.0,0.0289338829494568
1950,1997,0,0.0754849542098962,0,0.0280256748894382,0,2.693421461131112,1.0,0.0073353009938432
1950,1998,0,0.0560527444090519,0,0.0264380051740263,0,2.1201578576026683,1.0,0.0345262874090446
1950,1999,0,0.0557896077340479,0,0.0258944165497118,0,2.154503370521736,1.0,0.0316584313717923
1950,2000,0,0.0646042093392719,0,0.0253429624463799,0,2.54919721701676,1.0,0.0111417781575011
1950,2001,0,0.0551073654724816,0,0.0257813381188306,0,2.137490506446261,1.0,0.0330283820929397
1950,2002,0,0.0696780784926315,0,0.0259927041224079,0,2.6806783228284075,1.0,0.0075823573500842
1950,2003,0,0.0694864485929911,0,0.0262197112969957,0,2.650160705657836,1.0,0.0082908601245603
1950,2004,0,0.080625106091121,0,0.0283741371113643,0,2.8414998410235044,1.0,0.0046637174002465
1950,2005,0,0.0882969817755346,0,0.0276307730413208,0,3.195603019991144,1.0,0.0014855917269921
1950,2006,0,0.0688176178785579,0,0.0262698821860212,0,2.6196393798513924,1.0,0.0090342743884726
1950,2007,0,0.0513063679126561,0,0.0243014040800476,0,2.1112511747739124,1.0,0.0352357132556095
1950,2008,0,0.0954145735782712,0,0.0284506266678749,0,3.3536896987231763,1.0,0.0008534695560159
1950,2009,0,0.084255168833777,0,0.027221797915075,0,3.0951360779560315,1.0,0.002052278071036
1950,2010,0,0.0891900533679985,0,0.0276823676948226,0,3.2219084130104814,1.0,0.0013623813245805
1950,2011,0,0.0761077961874375,0,0.0261363302028776,0,2.911954187778741,1.0,0.0037298912812457
1950,2012,0,0.0915015369673868,0,0.0279529298752291,0,3.2734148933873404,1.0,0.0011200456086755
1950,2013,0,0.0821012158180673,0,0.0270923036271692,0,3.03042579722652,1.0,0.0025456966650211
1950,2014,0,0.0630577152883121,0,0.0249443764258672,0,2.5279331185413563,1.0,0.0117352405308097
1950,2015,0,0.0937287811513964,0,0.0283583634035374,0,3.305154808041732,1.0,0.0010001412020633
1950,2016,0,0.0792419335952983,0,0.0253821780907724,0,3.121951682472293,1.0,0.0018857169885776
1950,2017,0,0.0591213889687162,0,0.0260178243412425,0,2.2723417682161497,1.0,0.0233644856129846
1950,2018,0,0.0619125909007298,0,0.0246912261294402,0,2.5074733257944284,1.0,0.0123844672595815
1950,2019,0,0.0562439889104429,0,0.0255892283377472,0,2.197955646340312,1.0,0.0283446548016533
1951,1971,0,0.0456276050537664,0,0.0229594179013756,0,1.9873154123403356,1.0,0.047538090998815
1951,1980,0,0.072358711276133,0,0.0259531962419027,0,2.78804624300209,1.0,0.005481258096215
1951,1981,0,0.0582762156806365,0,0.0236950477173451,0,2.459425968489501,1.0,0.0142087521551885
1951,1982,0,0.0914422385168111,0,0.0269245939854812,0,3.396234630914777,1.0,0.0007337781918594
1951,1983,0,0.0831233297835321,0,0.027490064801309,0,3.023758961076507,1.0,0.0026065358626739
1951,1984,0,0.07156381733343,0,0.0266792836172446,0,2.682374023235523,1.0,0.0075378959174184
1951,1985,0,0.0650119841131068,0,0.0246585507431362,0,2.6364884453399253,1.0,0.008658371575429
1951,1986,0,0.0557599192413793,0,0.0240973058535542,0,2.3139482720702182,1.0,0.0210594885818794
1951,1987,0,0.0824443685908046,0,0.0274080383890794,0,3.008036088553279,1.0,0.002764375258594
1951,1988,0,0.0631573985842457,0,0.0256186758450065,0,2.4652873929296373,1.0,0.014040681063101
1951,1989,0,0.0528780321835654,0,0.0242537230425309,0,2.180202688504329,1.0,0.0297156316361034
1951,1990,0,0.0857479305757448,0,0.0266423586242574,0,3.218481208254314,1.0,0.0013782100681943
1951,1991,0,0.0600947040384589,0,0.0240415342819059,0,2.499620171233715,1.0,0.0127182089830405
1951,1992,0,0.0646330745246402,0,0.0246754354045585,0,2.619328634529383,1.0,0.0090473760870049
1951,1993,0,0.051146010259225,0,0.0235557618209856,0,2.171273875492304,1.0,0.0303443999937947
